name,rate,location,cuisines,approx_cost(for two people)
French Bake House,3.3/5,Electronic City,"Bakery, Fast Food, Burger, Rolls, Beverages",350
Vyanjan,3.3/5,Electronic City,"North Indian, Chinese",400
Just Bake,3.2/5,Electronic City,"Bakery, Desserts",400
Machlee's Sea Food,,Electronic City,Seafood,200
Chick Blast,3.3/5,Electronic City,Fast Food,400
Tellimagic Restaurant,3.5/5,Electronic City,"North Indian, South Indian, Chinese",400
Biryani Darbar,NEW,Electronic City,"Biryani, Andhra, Chinese, North Indian",550
Andhra Chettinad Cuisine,3.6/5,Electronic City,"Andhra, South Indian, Chettinad",250
Basveshwara Khaanavali,3.5/5,Electronic City,South Indian,150
Cafe Shawamek,3.2/5,Electronic City,Fast Food,300
Sri Varu Food Corner,,Electronic City,South Indian,150
New Priya Sagar,,Electronic City,"South Indian, Chinese, Street Food",200
Biryani Centre,,Electronic City,South Indian,300
ABCD - Anybody Can Dine,,Electronic City,"Chinese, Fast Food",500
Oven Fresh,,Electronic City,"Bakery, Fast Food",550
Mr. Paratha & Ms. Curry,,Electronic City,Biryani,300
MKA Ambur Hot Dum Biriyani,,Electronic City,Biryani,200
Chatkara,,Electronic City,North Indian,300
The Veggies,,Electronic City,"Chinese, North Indian",200
Cafe Light House,,Electronic City,"Kerala, Seafood",500
V20,,Electronic City,"North Indian, Continental",300
M S Punjabi Dhaba,,Electronic City,"Chinese, North Indian",300
Chillout,,Electronic City,Chinese,300
Pratha N Snacks,,Electronic City,"North Indian, Street Food",200
Maa Sharda Hotel,,Electronic City,"North Indian, Chinese",350
Gugu Fast Foods & Snacks,,Electronic City,"Chinese, North Indian, Fast Food",350
The Malabari,,Electronic City,"South Indian, Fast Food",300
MGR Foods,,Electronic City,South Indian,300
AJ Ambur Star Biriyani,,Electronic City,"South Indian, Biryani",300
Neelu's Food Court,,Electronic City,"South Indian, Fast Food",250
BJM Restaurant & Cafe,,Electronic City,"North Indian, Chinese, Fast Food",350
Venkataramana Nellore Mess,,Electronic City,South Indian,200
B Penguin Restaurant & Cafe,,Electronic City,Cafe,300
Hyderabadi Biriyani Corner,,Electronic City,Biryani,200
Ambur Chicken Biryani,,Electronic City,Biryani,150
Star Cafe Hotel,,Electronic City,"North Indian, Chinese",350
Eatery,,Electronic City,Fast Food,100
Shivshankar Hotel,,Electronic City,"North Indian, Chinese",350
New Kshatriya Dum Biryani,,Electronic City,"Biryani, South Indian",350
Sharon Hotel,NEW,Electronic City,"Kerala, South Indian",300
The Juice Shop,NEW,Electronic City,"Juices, North Indian",200
Reyniks Flavours,NEW,Electronic City,North Indian,150
Wow Manglore Multi Cuisine Restaurant,NEW,Electronic City,"Fast Food, Kerala, Mangalorean, Seafood, South Indian",300
Punjabi Dhaba And Family Restaurant,NEW,Electronic City,"North Indian, Chinese",250
Goli Vada Pav No 1,3.4/5,Electronic City,Street Food,200
VMS Star Biriyani,3.1/5,Electronic City,"Biryani, South Indian",350
Royal Bengal Corner,3.8/5,Electronic City,"Chinese, Fast Food, North Indian, Rolls",250
Choco Nut Cafe,3.2/5,Electronic City,Desserts,150
Nesara Upahar,,Electronic City,"South Indian, Chinese, North Indian",250
Srinidhi Grand,,Electronic City,"South Indian, Fast Food",150
Swad 'E' Punjab,NEW,Electronic City,"North Indian, Chinese, Fast Food, Biryani",500
Halli Mane Badoota Hotel,NEW,Electronic City,South Indian,300
Baskiin's Rabbin,,Electronic City,"Fast Food, Desserts, Beverages",300
Today Coffee,NEW,Electronic City,South Indian,150
Akshay Biryani Paradise,,Electronic City,"South Indian, North Indian",350
Shiv Shankar Hotel,3.5/5,Electronic City,"North Indian, Chinese",350
Vibgyor Kitchen,,Electronic City,North Indian,350
Pathumma`s Kitchen,3.2/5,Electronic City,North Indian,200
Big Apple Restaurant,3.2/5,Electronic City,"North Indian, Chinese, Pizza, Burger",300
Star Ambur Dum Biryani,3.2/5,Electronic City,Biryani,200
Andhra Food Cafe (AFC),3.3/5,Electronic City,"Andhra, North Indian, South Indian",250
Hotel A-1,3.3/5,Electronic City,"North Indian, Chinese",300
Naidu Hotel,,Electronic City,South Indian,200
Sri Matha Sagar,3.2/5,Electronic City,"South Indian, North Indian, Chinese",200
Hotel Thalassery,3.4/5,Electronic City,"Kerala, South Indian",200
The Foodware Veg,3.8/5,Electronic City,South Indian,400
Reddy Dhaba,,Electronic City,North Indian,350
The Magic Chef,3.7/5,Electronic City,"North Indian, Chinese",300
Sandesh Sweets & Chats,2.9/5,Electronic City,"South Indian, Street Food, Beverages",350
Hamara Kozhikode,3.3/5,Electronic City,"Kerala, Juices",300
I Siri Restaurant And Caterers,3.4/5,Electronic City,"North Indian, South Indian, Chinese",400
Food Point,,Electronic City,"North Indian, South Indian, Chinese",300
S.L.V.Brahmin Cafe,,Electronic City,South Indian,100
Grand Fast Food,,Electronic City,Fast Food,250
Chikeys,3.0/5,Electronic City,"Burger, Fast Food",400
Wedesi,,Electronic City,North Indian,250
Till The Last Bite,3.4/5,Electronic City,"North Indian, Chinese",300
Ham Khim Chinese Fast Food,3.1/5,Electronic City,Chinese,300
HOT BOX,3.6/5,Electronic City,"North Indian, Chinese",200
4Foodiez - The Restaurant,3.0/5,Electronic City,"Street Food, Chinese, North Indian, South Indian",400
A-1 Fast Food,,Electronic City,Fast Food,100
Marwa Family Restaurant,3.0/5,Electronic City,"North Indian, Chinese",500
Sri Ragavendhra Upahar,,Electronic City,South Indian,200
Sri Kathyayani Upahar,,Electronic City,South Indian,250
Tasty Funda,3.3/5,Electronic City,"North Indian, Chinese",200
Daafoodies,3.2/5,Electronic City,Kerala,400
ANR Dum Biryani Centre,,Electronic City,"South Indian, Biryani",350
Vasu Biriyani Paradise,,Electronic City,"North Indian, South Indian, Chinese",200
Sai Upahar,,Electronic City,"South Indian, Street Food",200
Grand Taj,,Electronic City,"Biryani, North Indian, Chinese",200
Choconut Cafe,3.4/5,Electronic City,"Fast Food, Beverages",250
Paris Restaurant,,Electronic City,North Indian,350
Fine Dine Restaurant,,Electronic City,"Biryani, Fast Food, South Indian",200
Naati Kitchen,,Electronic City,"Kerala, South Indian",300
BJ Bhavan Veg Restaurants,,Electronic City,"South Indian, North Indian, Chinese",350
TRS Family Restaurant,NEW,Electronic City,"South Indian, Andhra",150
Grand Kudla Family Restaurant,,Electronic City,"South Indian, North Indian, Chinese",300
Desi Tadka,3.0/5,Electronic City,"North Indian, Chinese",300
Hotel Amrit,,Electronic City,"North Indian, Chinese, Juices",250
Theka,,Electronic City,"North Indian, Street Food",300
Pals Food Point,,Electronic City,South Indian,150
Hot 'N' Fresh,3.5/5,Electronic City,Fast Food,250
Indian Tava Phasta,,Electronic City,"North Indian, Rolls",250
Ambur Dum Biriyani,3.3/5,Electronic City,"Biryani, Kebab",300
Hot & Cool,,Electronic City,Fast Food,150
Adya Hotel,3.3/5,Electronic City,"South Indian, North Indian, Chinese",400
Lion City Restaurant and Cafe,3.3/5,Electronic City,"North Indian, South Indian, Chinese",300
Pehla Niwala,2.8/5,Electronic City,"North Indian, Momos",400
The Lemon Grass Kitchen,3.3/5,Electronic City,"Chinese, Thai",300
Bite Sip Repeat,3.4/5,Electronic City,"Fast Food, South Indian, North Indian",150
White Chillies,,Electronic City,Biryani,300
Mazali,,Electronic City,"Kerala, North Indian",350
Andhra Ruchulu,3.3/5,Electronic City,South Indian,250
Taste Of Rajasthan,,Electronic City,"North Indian, Rajasthani, Street Food",200
Ambur Dum Biryani,NEW,Electronic City,"Biryani, Fast Food",300
Star Briyani,NEW,Electronic City,"Biryani, North Indian",200
Namma Atithi,NEW,Electronic City,"North Indian, South Indian, Chinese, Biryani",200
Flavour A Azam,3.5/5,Electronic City,North Indian,400
V-3 Food Spot,,Electronic City,"North Indian, Chinese, South Indian",300
Delhi Pizza House,3.2/5,Electronic City,"Pizza, American",400
Curries And Pickles,3.6/5,Electronic City,"Andhra, North Indian, Biryani",400
Bhaiya Ji Food Court,3.5/5,Electronic City,"North Indian, Chinese",300
Shri Lakshmi Vilas Andhra Mess - Taste of Vijayawada,NEW,Electronic City,"Andhra, Chinese, Biryani",500
Aafa Calicut Restaurant,,Electronic City,"Fast Food, Chinese",150
Mustard Food Court,3.8/5,Electronic City,"North Indian, Chinese",500
Empire Restaurant,NEW,Electronic City,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400
Maa Reddy's Hyderabadi Biryani House,3.0/5,Electronic City,"Biryani, Andhra, North Indian",500
Pimento,3.7/5,Electronic City,"Chinese, Fast Food, Italian",400
Satkar Restaurant,3.6/5,Electronic City,"North Indian, Chinese, Biryani, Seafood",350
Delhi's Essence,3.6/5,Electronic City,North Indian,500
Parathe Wali Gali,3.6/5,Electronic City,"North Indian, Chinese",250
Dande Hyderabad Biryani,NEW,Electronic City,"Biryani, Andhra, North Indian",500
King,3.7/5,Electronic City,"North Indian, Chinese",300
Sunny's,3.0/5,Electronic City,"Sandwich, Fast Food, Salad, Bakery, Juices",300
Aunty Kitchen,,Electronic City,"North Indian, Chinese, Fast Food",700
OrganicFeast,2.9/5,Electronic City,"North Indian, Chinese, Healthy Food",400
Hotel Manarama,3.7/5,Electronic City,North Indian,200
Karama Restaurant,NEW,Electronic City,Arabian,400
Amaravathi Mess,3.6/5,Electronic City,"Andhra, Biryani",400
Kerala Food,NEW,Electronic City,"Kerala, South Indian",250
Hotel Uma Bhai,3.7/5,Electronic City,North Indian,400
Omleterian,,Electronic City,"American, Continental",200
Foodies Family Restaurant,3.4/5,Electronic City,"North Indian, Chinese",300
Ramdev Bhojnalaya,3.0/5,Electronic City,"Rajasthani, Gujarati",200
Ande Ka Funda,3.4/5,Electronic City,"North Indian, Fast Food, Rolls",200
Desi Dhaba,3.8/5,Electronic City,"Chinese, North Indian",300
Nagas,NEW,Electronic City,"Andhra, Hyderabadi, North Indian",300
Kadhai Tadka family Restaurant,NEW,Electronic City,"Chinese, North Indian",400
Priya's Punjabi,3.8/5,Koramangala 8th Block,North Indian,
Gilly's Restobar,4.3/5,Electronic City,"Continental, North Indian, Chinese, Salad","1,200"
Fire Station,4.4/5,Electronic City,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","1,200"
Aura - Radha Regent,3.6/5,Electronic City,"Continental, American, South Indian, Italian, North Indian, Chinese","1,200"
46 Ounces Brewgarden,NEW,Electronic City,"Bar Food, Finger Food, Pizza","1,600"
Sky Lounge Bar - Svenska Design Hotel,4.0/5,Electronic City,"North Indian, Pizza, Asian, Italian","1,500"
Queens,4.3/5,Electronic City,"North Indian, Continental, British","1,400"
Sherlock's Pub,3.6/5,Electronic City,"Continental, North Indian","1,300"
The Chameleon,4.1/5,Electronic City,Finger Food,"1,200"
The Terminus - The Oterra,4.0/5,Electronic City,"Finger Food, Continental","2,500"
Mesa Lounge Bar - Svenska Design Hotel,3.5/5,Electronic City,"North Indian, Pizza, Asian, Italian","1,500"
Tap House Resto Bar,3.4/5,Electronic City,"Chinese, North Indian, Thai",900
Slounge - Lemon Tree Hotel,3.8/5,Electronic City,Finger Food,"1,500"
Unlock - The Restobar,3.8/5,Electronic City,Japanese,"1,200"
Z-Bar,4.1/5,Electronic City,"Finger Food, North Indian","1,500"
Prestige Estate Club and Resorts,3.5/5,Electronic City,North Indian,"1,000"
Indian Kitchen - Hotel Presidency,3.0/5,Electronic City,"Fast Food, North Indian, Finger Food","1,000"
Hide Out - The Golden Tulip,3.2/5,Electronic City,Finger Food,"1,800"
90's Beer Cafe - Hotel Millennium Plaza,3.0/5,Electronic City,Finger Food,"1,000"
Nirvana Bar - Manipal County,3.3/5,Electronic City,Finger Food,"1,000"
3rd Innings,3.0/5,Electronic City,"Burger, Italian, North Indian, Chinese","1,000"
Envy,3.4/5,Electronic City,Finger Food,"1,000"
Aura - Radha Regent,3.6/5,Electronic City,"Continental, American, South Indian, Italian, North Indian, Chinese","1,200"
Fire Station,4.4/5,Electronic City,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","1,200"
Gilly's Restobar,4.3/5,Electronic City,"Continental, North Indian, Chinese, Salad","1,200"
Sky Lounge Bar - Svenska Design Hotel,4.0/5,Electronic City,"North Indian, Pizza, Asian, Italian","1,500"
Queens,4.3/5,Electronic City,"North Indian, Continental, British","1,400"
Sherlock's Pub,3.6/5,Electronic City,"Continental, North Indian","1,300"
Shandys-The Beer Cocktail Hub,NEW,Electronic City,"North Indian, South Indian, Chinese, Italian","1,400"
The Chameleon,4.1/5,Electronic City,Finger Food,"1,200"
Cedar Bar & Dive - Hotel Presidency,3.8/5,Electronic City,"North Indian, Thai, Chinese, Continental","1,200"
Tap House Resto Bar,3.4/5,Electronic City,"Chinese, North Indian, Thai",900
Soul Curry Restaurant,3.6/5,Electronic City,"Andhra, Chinese, North Indian, Biryani",600
Z-Bar,4.1/5,Electronic City,"Finger Food, North Indian","1,500"
The Dining Table - Sahar Pavillion,3.7/5,Electronic City,"Chinese, Continental, North Indian, Pizza, South Indian","1,500"
Prestige Estate Club and Resorts,3.5/5,Electronic City,North Indian,"1,000"
Hide Out - The Golden Tulip,3.2/5,Electronic City,Finger Food,"1,800"
Chill Out Bar,,Electronic City,"Finger Food, Fast Food","1,500"
90's Beer Cafe - Hotel Millennium Plaza,3.0/5,Electronic City,Finger Food,"1,000"
Nirvana Bar - Manipal County,3.3/5,Electronic City,Finger Food,"1,000"
3rd Innings,3.0/5,Electronic City,"Burger, Italian, North Indian, Chinese","1,000"
NH7 Resto Pub,3.3/5,Electronic City,"Andhra, Chinese, Continental","1,400"
Spice,3.3/5,Electronic City,"Andhra, Chinese, North Indian","1,500"
Empire Restaurant,4.1/5,Frazer Town,"North Indian, Mughlai, South Indian, Chinese",750
Tiger Trail - Ramada Hotel,4.0/5,Shivajinagar,"North Indian, Lucknowi","1,300"
Caraway Kitchen - Conrad Bengaluru,4.3/5,Ulsoor,"American, Continental, North Indian, South Indian","2,800"
BBQ@52,3.7/5,MG Road,"BBQ, Biryani, Continental","1,500"
Skylit - Citrus Hotels,4.0/5,Cunningham Road,"North Indian, Mughlai, Mediterranean","1,300"
Banjara Melting Pot,4.2/5,Cunningham Road,"North Indian, Chinese, Seafood","1,700"
Citrus Cafe - Lemon Tree Premier,3.9/5,Ulsoor,"North Indian, Continental, South Indian","2,200"
Zodiac - Fortune Select JP Cosmos Hotel,3.8/5,Cunningham Road,"North Indian, South Indian, Chinese, Continental","1,800"
Pinxx - Royal Orchid Central,3.8/5,MG Road,"Italian, European","1,600"
24 Carats - The Capitol,3.1/5,Cunningham Road,"Asian, Continental","1,000"
Cafe Monarch Luxur,3.8/5,Infantry Road,"North Indian, South Indian, Chinese, Fast Food",800
BISO - Citrus Hotels,3.9/5,Cunningham Road,"North Indian, South Indian, Italian, Continental","1,100"
Bazaar- Zone By The Park,3.8/5,Infantry Road,"Continental, South Indian, North Indian, Asian","1,100"
Coastal Creek,3.3/5,Vasanth Nagar,"North Indian, Continental, South Indian",600
Mambos Cafe,3.9/5,Frazer Town,"Cafe, Continental, Beverages, Fast Food","1,100"
Sherlock's Cafe,3.7/5,Frazer Town,"Cafe, Fast Food",350
Cafe Arabica,4.1/5,Frazer Town,"Cafe, Bakery",700
Sunny Side Bistro,3.8/5,Frazer Town,"Cafe, Continental",700
Best Tea Cafe,,Frazer Town,Cafe,400
Cafe Coffee Day,3.1/5,Frazer Town,"Cafe, Fast Food",900
Bubbles,3.7/5,Frazer Town,Cafe,450
Happy Belly Bakes,4.1/5,Frazer Town,"Bakery, Cafe",350
Loca Moca,2.9/5,Frazer Town,"Cafe, Continental",600
The Chocolate Heaven,NEW,Commercial Street,"Desserts, Cafe",600
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,3.4/5,Shivajinagar,Cafe,300
Starbucks,3.5/5,Commercial Street,"Cafe, Desserts",700
Savera Cafe,3.7/5,Shivajinagar,Cafe,50
Aubree,,Shivajinagar,"Cafe, Bakery",400
Norsha Caffe,3.3/5,Commercial Street,Cafe,400
Hammered,4.7/5,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe","1,300"
Cafe Azzure,4.3/5,MG Road,"Cafe, Continental, Italian, Burger","1,200"
The Culinarium,4.0/5,Vasanth Nagar,"Cafe, Desserts, Beverages","1,100"
Dolci Desserts,4.3/5,Cunningham Road,"Cafe, Desserts",750
Cafe Kaara,4.2/5,Ulsoor,"Cafe, Salad, Desserts, Pizza",750
Skoolroom,4.3/5,Ulsoor,"Cafe, Continental, Italian, Burger, Beverages",700
Step Right Up,4.1/5,Vasanth Nagar,"Cafe, Italian",300
Infinitea Tea Room & Tea Store,4.3/5,Cunningham Road,"Continental, Cafe, Desserts, Salad, Momos","1,000"
Mudpipe Cafe,4.2/5,Cunningham Road,"Cafe, Continental, Italian, Burger",750
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,3.9/5,Ulsoor,"Cafe, American, Continental, Steak",800
Smally's Resto Cafe,4.1/5,Ulsoor,"Cafe, Italian, Burger, American, Steak",650
Peppa Zzing,4.3/5,Infantry Road,"Cafe, Fast Food, Burger",800
Cafe Imroze,3.6/5,Infantry Road,"Cafe, Burger, Italian, Fast Food",650
KAARA BY THE LAKE,4.0/5,Ulsoor,"Cafe, Italian, Coffee",750
The Souk,3.7/5,Ulsoor,"Cafe, Mediterranean, Italian, Pizza, Continental",800
Marzipan Cafe & Bakery,4.2/5,Ulsoor,"Cafe, Mediterranean, Bakery, Greek, Beverages",700
Cafe Cassia& Deli,4.2/5,Ulsoor,"Lebanese, Mediterranean, Cafe","1,000"
Bangalore Masala House,4.2/5,Vasanth Nagar,"Cafe, Continental, Fast Food",500
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,4.2/5,Ulsoor,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500
Haji Ali Juice Centre,3.8/5,MG Road,"Beverages, Cafe, Juices, Fast Food",350
Soul Cafe,3.9/5,MG Road,"Cafe, Continental, Italian",800
Gobble Up Churros Cafe,3.8/5,Ulsoor,"Beverages, Cafe, Desserts, Spanish, Bakery",400
The Lobby Brew - Conrad Bengaluru,3.8/5,Ulsoor,"Cafe, North Indian, Fast Food","2,200"
Cafe Nibras,3.4/5,Banaswadi,"Cafe, Continental",400
Chels Cafe,3.5/5,Cunningham Road,"Cafe, Burger",500
BanBay,4.0/5,Vasanth Nagar,"Cafe, Modern Indian, Pizza, Burger, Desserts","1,100"
Cafe Cerrise,3.8/5,Ulsoor,"Cafe, Continental, Salad",600
The Sanctuary,3.9/5,Banaswadi,"Cafe, Fast Food",450
Cafe Jezve,3.8/5,Koramangala 5th Block,Cafe,500
Irene's Cafe & Deli - Citrus Hotels,,Cunningham Road,Cafe,"1,000"
Dasaprakash Cafe,3.1/5,MG Road,Cafe,400
eat.fit,4.5/5,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500
FreshMenu,3.6/5,North Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Leon Grill,4.3/5,St. Marks Road,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500
Ghar Ki Rasoi,3.1/5,Indiranagar,"North Indian, Chinese, Italian",500
Burger King,4.0/5,Indiranagar,"Burger, Fast Food, Beverages",600
Empire Restaurant,4.0/5,RT Nagar,"North Indian, Mughlai, South Indian, Chinese",750
Donne Biriyani House,4.1/5,Indiranagar,Biryani,300
Just Shawarma,3.7/5,Kammanahalli,Arabian,300
Mother's Kitchen,3.7/5,RT Nagar,North Indian,600
Al Amanah Cafe,4.4/5,Kammanahalli,"Middle Eastern, Fast Food, Rolls",300
New Taj,3.3/5,Ulsoor,"North Indian, Chinese",300
7 Plates,3.9/5,Frazer Town,"North Indian, Mughlai, Rolls, Fast Food",600
Ahaan Restaurant,2.8/5,RT Nagar,"North Indian, Chinese",300
Behrouz Biryani,4.2/5,Vasanth Nagar,Biryani,650
Firangi Bake,3.9/5,Indiranagar,"Mexican, Italian",600
Shahi Family Restaurant,3.3/5,Ulsoor,"North Indian, Chinese, South Indian",350
Tadkawala,3.4/5,Vasanth Nagar,North Indian,200
Vijayalakshmi Veg,3.9/5,Nagawara,South Indian,200
Roti Shotti,3.8/5,Jeevan Bhima Nagar,North Indian,400
Khan Saheb Grills and Rolls,4.0/5,Indiranagar,"Fast Food, Rolls",350
Fish Chain,3.4/5,Kammanahalli,"Seafood, BBQ, Burger, Biryani",300
Punjabi Restaurant,3.3/5,RT Nagar,"North Indian, Chinese",400
Biryani Khazana,3.0/5,Indiranagar,Biryani,600
Thalassery Restaurant,3.9/5,Kammanahalli,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",800
Ovenstory Pizza,3.8/5,Vasanth Nagar,Pizza,750
Pathaan Sir,3.8/5,Frazer Town,"Fast Food, Rolls, Momos",250
Biriyani Nights,2.9/5,Kammanahalli,"Biryani, Kebab, Continental",500
Meghana Foods,4.2/5,Indiranagar,"Biryani, Chinese, North Indian, Seafood",750
Paradise,4.1/5,Indiranagar,"Biryani, North Indian, Kebab",800
Maravanthe,4.4/5,Indiranagar,"Seafood, Mangalorean","1,000"
Donne Biryani House,3.3/5,Residency Road,Biryani,400
Faasos,3.8/5,Vasanth Nagar,"North Indian, Biryani, Fast Food",500
Deshi Fusion Pizza,3.3/5,Old Madras Road,"Pizza, Chinese, Rolls",750
Sandhya Veg,3.5/5,Brigade Road,"South Indian, Chinese",150
Shawarma King Restaurant,3.5/5,Kammanahalli,"Arabian, Chinese, North Indian",500
M.M.A Kababs Rolls & Biryani Center,2.7/5,Old Madras Road,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400
Dunkin' Donuts,4.0/5,Brigade Road,"Burger, Desserts, Fast Food",550
Eat At Nite,3.0/5,Frazer Town,"North Indian, Chinese, Rolls",400
Shawarma Time,3.7/5,Ulsoor,Arabian,300
The Good Bowl,3.6/5,Indiranagar,"Italian, North Indian, Biryani",500
Bangalore Shadi Biriyani,3.5/5,Vasanth Nagar,"Chinese, North Indian",150
Bathinda Dine,4.1/5,Indiranagar,North Indian,950
Hotel Zam Zam,3.1/5,Hennur,"North Indian, Chinese",300
KFC,3.6/5,Cunningham Road,"Burger, Fast Food",400
Taco Bell,4.1/5,Indiranagar,"Mexican, American, Fast Food",600
Corner House Ice Cream,4.4/5,Residency Road,"Ice Cream, Desserts",400
Sanky's Burger House,4.3/5,Hennur,"Burger, Fast Food",300
Savoury Restaurant,4.1/5,Frazer Town,"Arabian, North Indian, Chinese, Beverages",800
Amritsari Kulcha Bite,3.9/5,Ulsoor,North Indian,150
Asha Sweets Center,4.1/5,Indiranagar,"Mithai, Street Food",200
Al-Baik Tandoori Restaurant,3.6/5,Nagawara,"North Indian, Chinese, Arabian, Biryani, Rolls",450
Pizza Hut,3.3/5,Frazer Town,"Pizza, Fast Food",750
Shanthi Sagar,4.1/5,Ulsoor,"South Indian, North Indian, Chinese, Juices",250
Masala Central,3.7/5,Frazer Town,North Indian,300
Karama Restaurant,4.4/5,Frazer Town,"Arabian, North Indian, Beverages",750
The Mughal's,3.7/5,Frazer Town,"Mughlai, North Indian, Chinese",400
Donne Biryani Hatti,3.6/5,Vasanth Nagar,Biryani,300
Food Box,3.6/5,Kammanahalli,"Fast Food, Beverages",350
Hotel Dil Coorg,3.6/5,Ulsoor,"North Indian, South Indian",300
Altaf's Chillies Restaurant,3.8/5,Frazer Town,"North Indian, Chinese",500
New Alameen Restaurant,3.5/5,Ulsoor,"Kerala, North Indian, Chinese",300
New Kairali Restaurant,3.7/5,Kammanahalli,"Kerala, South Indian",400
Arabian Shawarma,3.7/5,Kammanahalli,Arabian,150
Shalimar,4.0/5,Indiranagar,"North Indian, Chinese, Seafood",700
Crunch Pizzas,2.6/5,Banaswadi,"Italian, Pizza",600
9 Bowls,,Banaswadi,"Healthy Food, Continental, North Indian, Chinese",500
Imperial Restaurant,3.9/5,Indiranagar,"North Indian, Chinese, Biryani, Kebab, Juices",800
The Mangalorean,4.1/5,Kammanahalli,"Konkan, Mangalorean, Seafood",550
Xpress Biryani,4.3/5,Ulsoor,"Biryani, North Indian, Kebab",650
Kanti Sweets,3.9/5,RT Nagar,"Mithai, Street Food",400
Chickpet Donne Biriyani Mane,3.0/5,Kalyan Nagar,"Biryani, Kebab",350
KKR FOODIES,3.1/5,St. Marks Road,"Biryani, Chinese, Fast Food, North Indian",400
Momoz,3.9/5,Kammanahalli,"Chinese, Momos",500
Thai Chy,4.3/5,Indiranagar,"Thai, Asian, Indonesian","1,200"
Alampur Bar And Restaurant,3.7/5,Race Course Road,"Chinese, South Indian, North Indian",900
Connie's Restaurant & Steakhouse,4.3/5,Kammanahalli,"Steak, Continental, Burger, American, BBQ, European, Salad","1,500"
Seafood Place,4.1/5,Indiranagar,"Chinese, North Indian, Kerala, Mangalorean, Seafood",800
Sri Sagar,3.7/5,Kammanahalli,"South Indian, North Indian, Chinese, Street Food, Juices",300
Bangalore Mandarin,4.2/5,Indiranagar,"Chinese, Seafood","1,100"
UBQ by Barbeque Nation,3.2/5,MG Road,"North Indian, BBQ, Biryani, Kebab",450
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,4.2/5,Ulsoor,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500
Rasovara,4.3/5,Lavelle Road,"Rajasthani, North Indian","1,400"
The Milkshake Theory,3.2/5,Lavelle Road,"Beverages, Fast Food",400
Smally's Resto Cafe,4.1/5,Ulsoor,"Cafe, Italian, Burger, American, Steak",650
New Biriyani Darbar,3.6/5,RT Nagar,"Biryani, South Indian, North Indian, Chinese",450
Belgian Waffle Factory,4.9/5,Brigade Road,Desserts,400
Soda Bottle Opener Wala,4.4/5,Lavelle Road,"Parsi, North Indian","1,300"
No 10 Fort Cochin,3.8/5,St. Marks Road,"Biryani, Kerala, Seafood, South Indian",800
Biryani Bar,NEW,Kalyan Nagar,Biryani,500
Kareem's,3.6/5,Frazer Town,"North Indian, Mughlai",700
Annabell,4.0/5,Indiranagar,"Continental, Beverages",700
Mani's Dum Biryani,4.0/5,Ulsoor,"Biryani, Kebab",750
Chutney Chang,4.2/5,Church Street,"North Indian, Chinese, BBQ","1,500"
NH7 Refuel,3.4/5,Ulsoor,"North Indian, Chinese, Biryani",400
Fujan,3.6/5,Frazer Town,"Chinese, Thai, Seafood",600
Samovar,3.9/5,Kammanahalli,"Kerala, South Indian",600
Home Food,3.4/5,Kammanahalli,South Indian,300
JS Food Court,3.8/5,Kammanahalli,"Fast Food, Juices",400
Smoke House Deli,4.6/5,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak","1,600"
Wild Range Restaurant,3.8/5,Kammanahalli,"North Indian, Chinese",600
Karachi Bakery,3.9/5,Indiranagar,Bakery,500
YumYumDilli,3.6/5,Indiranagar,North Indian,500
Pizza Stop,3.8/5,Banaswadi,"Pizza, Italian",500
Wat-a-Biryani,,Frazer Town,Biryani,500
Crunch Pizzas,2.9/5,Banaswadi,Pizza,400
SS Bucket Biryani,3.9/5,Frazer Town,"Biryani, North Indian, Chinese",600
Indian Spice Food,3.7/5,Ulsoor,"North Indian, Chinese",300
Coastal Delight,4.1/5,Indiranagar,"Seafood, South Indian, North Indian, Mangalorean, Chinese",650
Krispy Kreme,4.0/5,Richmond Road,"Desserts, Beverages",300
Omleterian,,Kammanahalli,"American, Continental",200
Utse Kitchen,4.2/5,Commercial Street,"Nepalese, Tibetan, Momos",800
Subway,3.9/5,Lavelle Road,"Salad, Fast Food",600
Mainland China,4.5/5,Church Street,"Chinese, Momos","1,700"
